student_id,school,year_enrollment,project
1200000,Medicine,20,Undergraduate
1200001,"Literature, Science, and the Arts",20,Undergraduate
1200002,"Literature, Science, and the Arts",20,Undergraduate
1200003,"Literature, Science, and the Arts",20,Undergraduate
1200004,Engineering,20,Undergraduate
1200005,"Literature, Science, and the Arts",20,Undergraduate
1200006,"Literature, Science, and the Arts",20,Undergraduate
1200007,"Literature, Science, and the Arts",20,Undergraduate
1200008,Medicine,20,Undergraduate
1200009,"Literature, Science, and the Arts",20,Undergraduate
1200010,"Literature, Science, and the Arts",20,Undergraduate
1200011,"Literature, Science, and the Arts",20,Undergraduate
1200012,"Literature, Science, and the Arts",20,Undergraduate
1200013,Engineering,20,Undergraduate
1200014,"Literature, Science, and the Arts",20,Undergraduate
1200015,"Literature, Science, and the Arts",20,Undergraduate
1200016,"Literature, Science, and the Arts",20,Undergraduate
1200017,Education,20,Undergraduate
1200018,"Literature, Science, and the Arts",20,Undergraduate
1200019,"Literature, Science, and the Arts",20,Undergraduate
1200020,"Literature, Science, and the Arts",20,Undergraduate
1200021,"Literature, Science, and the Arts",20,Undergraduate
1200022,"Literature, Science, and the Arts",20,Undergraduate
1200023,"Literature, Science, and the Arts",20,Undergraduate
1200024,"Literature, Science, and the Arts",20,Undergraduate
1200025,"Literature, Science, and the Arts",20,Undergraduate
1200026,"Literature, Science, and the Arts",20,Undergraduate
1200027,"Literature, Science, and the Arts",20,Undergraduate
1200028,"Literature, Science, and the Arts",20,Undergraduate
1200029,Engineering,20,Undergraduate
1200030,Education,20,Undergraduate
1200031,"Literature, Science, and the Arts",20,Undergraduate
1200032,"Literature, Science, and the Arts",20,Undergraduate
1200033,"Literature, Science, and the Arts",20,Undergraduate
1200034,Education,20,Undergraduate
1200035,"Literature, Science, and the Arts",20,Undergraduate
1200036,"Literature, Science, and the Arts",20,Undergraduate
1200037,Engineering,20,Undergraduate
1200038,"Literature, Science, and the Arts",20,Undergraduate
1200039,"Literature, Science, and the Arts",20,Undergraduate
1200040,Medicine,20,Undergraduate
1200041,Medicine,20,Undergraduate
1200042,"Literature, Science, and the Arts",20,Undergraduate
1200043,Education,20,Undergraduate
1200044,"Literature, Science, and the Arts",20,Undergraduate
1200045,"Literature, Science, and the Arts",20,Undergraduate
1200046,Medicine,20,Undergraduate
1200047,"Literature, Science, and the Arts",20,Undergraduate
1200048,Medicine,20,Undergraduate
1200049,Engineering,20,Undergraduate
1200050,Medicine,20,Undergraduate
1200051,"Literature, Science, and the Arts",20,Undergraduate
1200052,"Literature, Science, and the Arts",20,Undergraduate
1200053,Medicine,20,Undergraduate
1200054,"Literature, Science, and the Arts",20,Undergraduate
1200055,Education,20,Undergraduate
1200056,"Literature, Science, and the Arts",20,Undergraduate
1200057,"Literature, Science, and the Arts",20,Undergraduate
1200058,"Literature, Science, and the Arts",20,Undergraduate
1200059,"Literature, Science, and the Arts",20,Undergraduate
1200060,"Literature, Science, and the Arts",20,Undergraduate
1200061,Engineering,20,Undergraduate
1200062,Engineering,20,Undergraduate
1200063,"Literature, Science, and the Arts",20,Undergraduate
1200064,"Literature, Science, and the Arts",20,Undergraduate
1200065,Education,20,Undergraduate
1200066,Engineering,20,Undergraduate
1200067,"Literature, Science, and the Arts",20,Undergraduate
1200068,Education,20,Undergraduate
1200069,"Literature, Science, and the Arts",20,Undergraduate
1200070,Engineering,20,Undergraduate
1200071,"Literature, Science, and the Arts",20,Undergraduate
1200072,"Literature, Science, and the Arts",20,Undergraduate
1200073,"Literature, Science, and the Arts",20,Undergraduate
1200074,Medicine,20,Undergraduate
1200075,"Literature, Science, and the Arts",20,Undergraduate
1200076,"Literature, Science, and the Arts",20,Undergraduate
1200077,Medicine,20,Undergraduate
1200078,"Literature, Science, and the Arts",20,Undergraduate
1200079,"Literature, Science, and the Arts",20,Undergraduate
1200080,Medicine,20,Undergraduate
1200081,Medicine,20,Undergraduate
1200082,"Literature, Science, and the Arts",20,Undergraduate
1200083,"Literature, Science, and the Arts",20,Undergraduate
1200084,"Literature, Science, and the Arts",20,Undergraduate
1200085,Education,20,Undergraduate
1200086,"Literature, Science, and the Arts",20,Undergraduate
1200087,"Literature, Science, and the Arts",20,Undergraduate
1200088,"Literature, Science, and the Arts",20,Undergraduate
1200089,"Literature, Science, and the Arts",20,Undergraduate
1200090,"Literature, Science, and the Arts",20,Undergraduate
1200091,Education,20,Undergraduate
1200092,Education,20,Undergraduate
1200093,"Literature, Science, and the Arts",20,Undergraduate
1200094,Engineering,20,Undergraduate
1200095,"Literature, Science, and the Arts",20,Undergraduate
1200096,Medicine,20,Undergraduate
1200097,"Literature, Science, and the Arts",20,Undergraduate
1200098,"Literature, Science, and the Arts",20,Undergraduate
1200099,Medicine,20,Undergraduate
1200100,"Literature, Science, and the Arts",20,Undergraduate
1200101,"Literature, Science, and the Arts",20,Undergraduate
1200102,"Literature, Science, and the Arts",20,Undergraduate
1200103,"Literature, Science, and the Arts",20,Undergraduate
1200104,"Literature, Science, and the Arts",20,Undergraduate
1200105,"Literature, Science, and the Arts",20,Undergraduate
1200106,"Literature, Science, and the Arts",20,Undergraduate
1200107,"Literature, Science, and the Arts",20,Undergraduate
1200108,Education,20,Undergraduate
1200109,Engineering,20,Undergraduate
1200110,"Literature, Science, and the Arts",20,Undergraduate
1200111,Education,20,Undergraduate
1200112,"Literature, Science, and the Arts",20,Undergraduate
1200113,"Literature, Science, and the Arts",20,Undergraduate
1200114,Medicine,20,Undergraduate
1200115,"Literature, Science, and the Arts",20,Undergraduate
1200116,"Literature, Science, and the Arts",20,Undergraduate
1200117,"Literature, Science, and the Arts",20,Undergraduate
1200118,"Literature, Science, and the Arts",20,Undergraduate
1200119,"Literature, Science, and the Arts",20,Undergraduate
1200120,Education,20,Undergraduate
1200121,"Literature, Science, and the Arts",20,Undergraduate
1200122,Medicine,20,Undergraduate
1200123,Engineering,20,Undergraduate
1200124,"Literature, Science, and the Arts",20,Undergraduate
1200125,"Literature, Science, and the Arts",20,Undergraduate
1200126,Education,20,Undergraduate
1200127,Education,20,Undergraduate
1200128,"Literature, Science, and the Arts",20,Undergraduate
1200129,"Literature, Science, and the Arts",20,Undergraduate
1200130,Medicine,20,Undergraduate
1200131,Medicine,20,Undergraduate
1200132,"Literature, Science, and the Arts",20,Undergraduate
1200133,Education,20,Undergraduate
1200134,"Literature, Science, and the Arts",20,Undergraduate
1200135,"Literature, Science, and the Arts",20,Undergraduate
1200136,"Literature, Science, and the Arts",20,Undergraduate
1200137,Medicine,20,Undergraduate
1200138,Engineering,20,Undergraduate
1200139,"Literature, Science, and the Arts",20,Undergraduate
1200140,"Literature, Science, and the Arts",20,Undergraduate
1200141,Medicine,20,Undergraduate
1200142,Education,20,Undergraduate
1200143,Engineering,20,Undergraduate
1200144,"Literature, Science, and the Arts",20,Undergraduate
1200145,Engineering,20,Undergraduate
1200146,Medicine,20,Undergraduate
1200147,"Literature, Science, and the Arts",20,Undergraduate
1200148,"Literature, Science, and the Arts",20,Undergraduate
1200149,"Literature, Science, and the Arts",20,Undergraduate
1200150,"Literature, Science, and the Arts",20,Undergraduate
1200151,Engineering,20,Undergraduate
1200152,"Literature, Science, and the Arts",20,Undergraduate
1200153,"Literature, Science, and the Arts",20,Undergraduate
1200154,"Literature, Science, and the Arts",20,Undergraduate
1200155,"Literature, Science, and the Arts",20,Undergraduate
1200156,Medicine,20,Undergraduate
1200157,Medicine,20,Undergraduate
1200158,Medicine,20,Undergraduate
1200159,"Literature, Science, and the Arts",20,Undergraduate
1200160,"Literature, Science, and the Arts",20,Undergraduate
1200161,Medicine,20,Undergraduate
1200162,Education,20,Undergraduate
1200163,"Literature, Science, and the Arts",20,Undergraduate
1200164,"Literature, Science, and the Arts",20,Undergraduate
1200165,"Literature, Science, and the Arts",20,Undergraduate
1200166,Engineering,20,Undergraduate
1200167,"Literature, Science, and the Arts",20,Undergraduate
1200168,"Literature, Science, and the Arts",20,Undergraduate
1200169,"Literature, Science, and the Arts",20,Undergraduate
1200170,Education,20,Undergraduate
1200171,"Literature, Science, and the Arts",20,Undergraduate
1200172,"Literature, Science, and the Arts",20,Undergraduate
1200173,Medicine,20,Undergraduate
1200174,"Literature, Science, and the Arts",20,Undergraduate
1200175,Medicine,20,Undergraduate
1200176,"Literature, Science, and the Arts",20,Undergraduate
1200177,"Literature, Science, and the Arts",20,Undergraduate
1200178,"Literature, Science, and the Arts",20,Undergraduate
1200179,"Literature, Science, and the Arts",20,Undergraduate
1200180,"Literature, Science, and the Arts",20,Undergraduate
1200181,"Literature, Science, and the Arts",20,Undergraduate
1200182,"Literature, Science, and the Arts",20,Undergraduate
1200183,"Literature, Science, and the Arts",20,Undergraduate
1200184,"Literature, Science, and the Arts",20,Undergraduate
1200185,"Literature, Science, and the Arts",20,Undergraduate
1200186,Medicine,20,Undergraduate
1200187,"Literature, Science, and the Arts",20,Undergraduate
1200188,Education,20,Undergraduate
1200189,"Literature, Science, and the Arts",20,Undergraduate
1200190,Medicine,20,Undergraduate
1200191,Education,20,Undergraduate
1200192,Education,20,Undergraduate
1200193,"Literature, Science, and the Arts",20,Undergraduate
1200194,Engineering,20,Undergraduate
1200195,"Literature, Science, and the Arts",20,Undergraduate
1200196,"Literature, Science, and the Arts",20,Undergraduate
1200197,"Literature, Science, and the Arts",20,Undergraduate
1200198,"Literature, Science, and the Arts",20,Undergraduate
1200199,Education,20,Undergraduate
1200200,"Literature, Science, and the Arts",20,Undergraduate
1200201,Medicine,20,Undergraduate
1200202,"Literature, Science, and the Arts",20,Undergraduate
1200203,Education,20,Undergraduate
1200204,"Literature, Science, and the Arts",20,Undergraduate
1200205,"Literature, Science, and the Arts",20,Undergraduate
1200206,"Literature, Science, and the Arts",20,Undergraduate
1200207,"Literature, Science, and the Arts",20,Undergraduate
1200208,"Literature, Science, and the Arts",20,Undergraduate
1200209,Engineering,20,Undergraduate
1200210,"Literature, Science, and the Arts",20,Undergraduate
1200211,"Literature, Science, and the Arts",20,Undergraduate
1200212,Medicine,20,Undergraduate
1200213,Education,20,Undergraduate
1200214,Education,20,Undergraduate
1200215,"Literature, Science, and the Arts",20,Undergraduate
1200216,Education,20,Undergraduate
1200217,"Literature, Science, and the Arts",20,Undergraduate
1200218,Medicine,20,Undergraduate
1200219,"Literature, Science, and the Arts",20,Undergraduate
1200220,"Literature, Science, and the Arts",20,Undergraduate
1200221,"Literature, Science, and the Arts",20,Undergraduate
1200222,"Literature, Science, and the Arts",20,Undergraduate
1200223,Education,20,Undergraduate
1200224,"Literature, Science, and the Arts",20,Undergraduate
1200225,"Literature, Science, and the Arts",20,Undergraduate
1200226,Engineering,20,Undergraduate
1200227,"Literature, Science, and the Arts",20,Undergraduate
1200228,"Literature, Science, and the Arts",20,Undergraduate
1200229,Education,20,Undergraduate
1200230,Medicine,20,Undergraduate
1200231,"Literature, Science, and the Arts",20,Undergraduate
1200232,"Literature, Science, and the Arts",20,Undergraduate
1200233,Engineering,20,Undergraduate
1200234,"Literature, Science, and the Arts",20,Undergraduate
1200235,"Literature, Science, and the Arts",20,Undergraduate
1200236,"Literature, Science, and the Arts",20,Undergraduate
1200237,"Literature, Science, and the Arts",20,Undergraduate
1200238,"Literature, Science, and the Arts",20,Undergraduate
1200239,"Literature, Science, and the Arts",20,Undergraduate
1200240,"Literature, Science, and the Arts",20,Undergraduate
1200241,"Literature, Science, and the Arts",20,Undergraduate
1200242,"Literature, Science, and the Arts",20,Undergraduate
1200243,"Literature, Science, and the Arts",20,Undergraduate
1200244,Engineering,20,Undergraduate
1200245,"Literature, Science, and the Arts",20,Undergraduate
1200246,Medicine,20,Undergraduate
1200247,"Literature, Science, and the Arts",20,Undergraduate
1200248,"Literature, Science, and the Arts",20,Undergraduate
1200249,"Literature, Science, and the Arts",20,Undergraduate
1200250,"Literature, Science, and the Arts",20,Undergraduate
1200251,"Literature, Science, and the Arts",20,Undergraduate
1200252,"Literature, Science, and the Arts",20,Undergraduate
1200253,Engineering,20,Undergraduate
1200254,Medicine,20,Undergraduate
1200255,"Literature, Science, and the Arts",20,Undergraduate
